"id","name","code","category_id","amount_python_compute","report_mode","sequence","struct_id"
"__export__.hr_salary_rule_9_6dd969fd","Gaji Pokok","INCOME","Income","############PARAMETER###########
kode = ""001""
prorate = True
################################
hasil = 0
attrs = contract.attribut_lines
for att in attrs:
     if att.name.code == kode:
          hasil = att.nilai

if prorate:
     payslip_object = payslip.env['hr.payslip'].browse(payslip.id)
     get_prorate = payslip_object.get_days_prorate()
     hasil  = get_prorate['aktif'] / get_prorate['kalender'] * hasil

result = hasil","Income","1","General (Tax Nett)"
"__export__.hr_salary_rule_10_6ff65958","Tunjangan Jabatan","TUNJANGAN_JABATAN","Allowance","############PARAMETER###########
kode = ""002""
prorate = True
################################
hasil = 0
attrs = contract.attribut_lines
for att in attrs:
     if att.name.code == kode:
          hasil = att.nilai

if prorate:
     payslip_object = payslip.env['hr.payslip'].browse(payslip.id)
     get_prorate = payslip_object.get_days_prorate()
     hasil  = get_prorate['aktif'] / get_prorate['kalender'] * hasil

result = hasil","Income","2","General (Tax Nett)"
"__export__.hr_salary_rule_11_15124186","Tunjangan Operasional","TUNJANGAN_OPERASIONAL","Allowance","############PARAMETER###########
kode = ""003""
prorate = True
################################
hasil = 0
attrs = contract.attribut_lines
for att in attrs:
     if att.name.code == kode:
          hasil = att.nilai

if prorate:
     payslip_object = payslip.env['hr.payslip'].browse(payslip.id)
     get_prorate = payslip_object.get_days_prorate()
     hasil  = get_prorate['aktif'] / get_prorate['kalender'] * hasil

result = hasil","Income","3","General (Tax Nett)"
"__export__.hr_salary_rule_15_18686246","Tunjangan Transport","TUNJANGAN_TRANSPORT","Allowance","############PARAMETER###########
kode = ""004""
prorate = True
################################
hasil = 0
attrs = contract.attribut_lines
for att in attrs:
     if att.name.code == kode:
          hasil = att.nilai

if prorate:
     payslip_object = payslip.env['hr.payslip'].browse(payslip.id)
     get_prorate = payslip_object.get_days_prorate()
     hasil  = get_prorate['aktif'] / get_prorate['kalender'] * hasil

result = hasil","Income","4","General (Tax Nett)"
"__export__.hr_salary_rule_12_f0602761","Tunjangan Fungsional","TUNJANGAN_FUNGSIONAL","Allowance (Other)","############PARAMETER###########
kode = ""005""
prorate = True
################################
hasil = 0
attrs = contract.attribut_lines
for att in attrs:
     if att.name.code == kode:
          hasil = att.nilai

if prorate:
     payslip_object = payslip.env['hr.payslip'].browse(payslip.id)
     get_prorate = payslip_object.get_days_prorate()
     hasil  = get_prorate['aktif'] / get_prorate['kalender'] * hasil

result = hasil","Income","5","General (Tax Nett)"
"__export__.hr_salary_rule_13_f1c8fd26","Tunjangan Makan","TUNJANGAN_MAKAN","Allowance (Other)","############PARAMETER###########
kode = ""006""
prorate = True
################################
hasil = 0
attrs = contract.attribut_lines
for att in attrs:
     if att.name.code == kode:
          hasil = att.nilai

if prorate:
     payslip_object = payslip.env['hr.payslip'].browse(payslip.id)
     get_prorate = payslip_object.get_days_prorate()
     hasil  = get_prorate['aktif'] / get_prorate['kalender'] * hasil

result = hasil","Income","6","General (Tax Nett)"
"__export__.hr_salary_rule_16_abfd5f79","Tunjangan Lain-lain","TUNJANGAN_LAINLAIN","Allowance (Other)","############PARAMETER###########
kode = ""007""
prorate = True
################################
hasil = 0
attrs = contract.attribut_lines
for att in attrs:
     if att.name.code == kode:
          hasil = att.nilai

if prorate:
     payslip_object = payslip.env['hr.payslip'].browse(payslip.id)
     get_prorate = payslip_object.get_days_prorate()
     hasil  = get_prorate['aktif'] / get_prorate['kalender'] * hasil

result = hasil","Income","7","General (Tax Nett)"
"__export__.hr_salary_rule_21_8cdf4b6b","Insentif","INSENTIF","Income (Other)","########################
code_adj = '001'
########################
hasil = 0
getLine = payslip.env['hr.payroll.extras.insentif.line'].search([('insentif_id.state','=','confirm'),('name','=',employee.id),('insentif_id.cutoff_periode_id','=',payslip.cutoff_periode_id.id),('insentif_id.category_id.code','=',code_adj)])
for baris in getLine:
     hasil = hasil + baris.insentif
result =hasil ","Income","11","General (Tax Nett)"
"__export__.hr_salary_rule_17_a371bbcc","Bruto Penghasilan","BRUTO","Bruto Income","result = categories.ALT_INCOME + categories.ALT_INCOME_OTHER + categories.ALT_ALLOWANCE + categories.ALT_ALLOWANCE_OTHER + categories.ALT_INCOME_IRREGULER","","21","General (Tax Nett)"
"__export__.hr_salary_rule_18_9a4f71c3","Bruto BPJS","BRUTO_BPJS","Bruto BPJS","result = categories.ALT_INCOME + categories.ALT_INCOME_OTHER + categories.ALT_ALLOWANCE + categories.ALT_ALLOWANCE_OTHER","","22","General (Tax Nett)"
"__export__.hr_salary_rule_19_3bed3b1e","Bruto Tax","BRUTO_TAX","Bruto TAX","result = categories.ALT_INCOME + categories.ALT_INCOME_OTHER + categories.ALT_ALLOWANCE + categories.ALT_ALLOWANCE_OTHER + categories.ALT_INCOME_IRREGULER","","22","General (Tax Nett)"
"__export__.hr_salary_rule_20_ec5bd447","Potongan JHT (2%)","POTONGAN_JHT","Deduction (Tax)","################################
persentase = 2
################################
hasil = 0
if employee.have_bpjstk == True:
     get_ump = payslip.env['hr.master.ump'].search([('province_id','=',contract.province_id.id),('name','=',payslip.tahun_pajak)])
     if len(get_ump) > 0:
          batas_ump = get_ump[0].ump_nilai
          batas_bawah = BRUTO_BPJS
     if BRUTO_BPJS < batas_ump:
          batas_bawah = batas_ump
     hasil = batas_bawah * persentase / 100
result = hasil","Deduction","60","General (Tax Nett)"
